Sr.No,url,Painting name,Artist Name,Height,Width,Location,Artist_Region,Views,Favorites,Painting_PopularityIndex,Price,Subject,Medium,Number of mediums,Pri12y medium,Published date,Size,Month,Day,Year,Date uploaded,Age of painting as on 8-Apr,Artist_artworks,Artist_followers,Artist_popularityIndex,Material,Number_materials,Pri12y_materials,Style,Number_styles,Pri12y_style
1132,https://www.saatchiart.com/art/Painting-Sachsenhausen-The-Death-Tree/5316/1352186/view,"Sachsenhausen, The Death Tree Painting by Chris Stevens",Chris Stevens,36,68,France,Europe,3364,60,0.018,11000,Political ,Oil ,1,Oil ,Fri Dec 31 19:00:00 EST 2010,2448,12,31,2010,40543,2290,58,895,0.37,Canvas ,1,Canvas ,"Realism, Fine Art, Landscape, Figurative, Modern ",5,Realism
1133,https://www.saatchiart.com/art/Painting-Sunny-day/957256/3552364/view,Sunny day Painting by Andrew Shershnev,Andrew Shershnev,31.5,35.4,Ukraine,Europe,5,1,0.2,970,Landscape ,Oil ,1,Oil ,Fri Dec 31 19:00:00 EST 2010,1115.1,12,31,2010,40543,2290,163,13,0.01,Canvas ,1,Canvas ,"Expressionism, Fine Art, Impressionism, Realism ",4,Expressionism
1134,https://www.saatchiart.com/art/Painting-My-Queen/160534/152159/view,My Queen Painting by Dong Li-Blackwell,Dong Li-Blackwell,33.1,23.6,United Kingdom,Europe,2518,32,0.013,3850,Body ,"Watercolor, Ink ",2,Watercolor,Fri Dec 31 19:00:00 EST 2010,781.16,12,31,2010,40543,2290,68,590,0.24,Paper ,1,Paper ,"Expressionism, Abstract Expressionism, Abstract, Figurative, Fine Art ",5,Expressionism
1135,https://www.saatchiart.com/art/Painting-Airhead/879308/3083841/view,Airhead Painting by Roxana Halls,Roxana Halls,20,20,United Kingdom,Europe,130,7,0.054,630,Fantasy ,"Oil, linen ",2,Oil,Fri Dec 31 19:00:00 EST 2010,400,12,31,2010,40543,2290,17,13,0.01,Other ,1,Other ,"Surrealism, Fine Art, Figurative ",3,Surrealism
1136,https://www.saatchiart.com/art/Painting-Inner-Traveller/174804/1356924/view,Inner Traveller Painting by Melinda Matyas,Melinda Matyas,31.5,23.6,United Kingdom,Europe,7363,119,0.016,5845,People ,"Oil, Paint ",2,Oil,Fri Dec 31 19:00:00 EST 2010,743.4,12,31,2010,40543,2290,80,1446,0.59,Canvas ,1,Canvas ,"Expressionism, Portraiture, Figurative, Fine Art, Surrealism ",5,Expressionism
1137,https://www.saatchiart.com/art/Painting-The-Music-Lesson/842418/2795544/view,The Music Lesson Painting by 12k Takiguchi,12k Takiguchi,48,28.5,United States,North America,196,4,0.02,2000,Home ,Oil ,1,Oil ,Fri Dec 31 19:00:00 EST 2010,1368,12,31,2010,40543,2290,8,1,0,Wood ,1,Wood ,Fine Art ,1,Fine Art 
1138,https://www.saatchiart.com/art/Painting-Shining/769023/2500513/view,Shining Painting by Elena 12kova,Elena 12kova,32,39.4,United States,North America,731,10,0.014,5610,Landscape ,Acrylic ,1,Acrylic ,Fri Dec 31 19:00:00 EST 2010,1260.8,12,31,2010,40543,2290,180,15,0.01,Canvas ,1,Canvas ,"Art Deco, Fine Art, Impressionism ",3,Art Deco
1139,https://www.saatchiart.com/art/Painting-Icebergs/865196/2880432/view,Icebergs Painting by John Azoni,John Azoni,58,48,United States,North America,1432,55,0.038,3110,Seascape ,Acrylic ,1,Acrylic ,Fri Dec 31 19:00:00 EST 2010,2784,12,31,2010,40543,2290,30,17,0.01,Canvas ,1,Canvas ,"Abstract Expressionism, Abstract, Fine Art ",3,Abstract Expressionism
1140,https://www.saatchiart.com/art/Painting-On-the-Road/348464/2233347/view,On the Road Painting by Isil Gulecyuz,Isil Gulecyuz,55.1,55.1,Turkey,Europe,978,23,0.024,2710,Wall ,"Oil, Paper ",2,Oil,Fri Dec 31 19:00:00 EST 2010,3036.01,12,31,2010,40543,2290,37,38,0.02,Canvas ,1,Canvas ,"Street Art, Figurative, Fine Art, Modern ",4,Street Art
1141,https://www.saatchiart.com/art/Painting-Under-the-tree/570760/2763562/view,Under the tree Painting by Isao Tomoda,Isao Tomoda,20.6,17.2,Japan,Asia,1258,49,0.039,4050,Women ,Oil ,1,Oil ,Wed Nov 24 19:00:00 EST 2010,354.32,11,24,2010,40506,2327,58,46,0.02,Canvas ,1,Canvas ,"Fine Art, Expressionism, Folk, Figurative, Impressionism ",5,Fine Art
1142,https://www.saatchiart.com/art/Painting-Amanecer/726496/2922192/view,Amanecer,12ina SaMont,23.6,47.2,Mexico,North America,400,13,0.033,790,Women,Oil,1,Oil,Thu Dec 31 19:00:00 EST 2015,1113.92,9,30,2010,40451,2382,8,12,0,Canvas ,1,Canvas ,"Fine Art, Figurative, Realism, Portraiture, Photorealism ",5,Fine Art
